"tramite_audiencia_name","tramite_audiencia_date","tramite_audiencia_numero_processo"
"INICIAL","2016-08-01","0020679-11.2016.5.04.0103"
"INSTRUÇÃO","2016-10-24",""
"PERÍCIA","2016-09-12",""
"PERÍCIA","2016-08-10","001/1.14.0300906-7"
"PERÍCIA","2016-09-19",""
"PERÍCIA","2016-08-12",""
"PERÍCIA","2016-08-16","5045303-81.2016.4.04.7100"
"JULGAMENTO","2016-11-17","0020197-61.2015.5.04.0406"
"INSTRUÇÃO","2016-10-24",""
"JULGAMENTO","2016-08-18","0063180-74-2013-8-21-0001"
"INICIAL","2016-09-23","243"
"INICIAL","2017-09-28","0020749-23.2017.5.04.0352"
"JULGAMENTO","2016-08-18","001/1.15.0178337-9"
"OITIVA DE TESTEMUNHAS","2016-11-29",""
"INSTRUÇÃO","2017-11-28","0021109-85.2016.5.04.0030"
"INSTRUÇÃO","2018-01-24",""
"JULGAMENTO","2016-09-01","086/1.16.0001284-8"
"JULGAMENTO","2016-09-02","5025226-61.2015.4.04.7108"
"PERÍCIA","2016-10-03","001/1.15.0099969-6"
"INICIAL","2016-09-16","0021555-88.2016.5.04.0030"
"JULGAMENTO","2016-08-10","0000866-28.2013.5.04.0030"
"INICIAL","2016-09-16","0021555-88.2016.5.04.0030"
"JULGAMENTO","2016-08-17","0000460-79.2013.5.04.0006"
"PERÍCIA","2016-08-24",""
"JULGAMENTO","2016-08-11","001/1.15.0131708-4"
"PERÍCIA","2016-08-30",""
"PERÍCIA","2016-09-28","5006752-08.2016.4.04.7108"
"INICIAL","2016-10-27",""
"JULGAMENTO","2016-12-16","MS0021672-72.2016.5.04.0000"
"PERÍCIA","2016-10-11","0021555-88.2016.5.04.0030"
"PERÍCIA","2016-11-10",""
"PERÍCIA","2017-08-30","0022432-28.2016.5.04.0030"
"JULGAMENTO","2016-11-10","0020271-21.2014.5.04.0772"
"JULGAMENTO","2016-10-18","0020288-18.2015.5.04.0030"
"PERÍCIA","2016-10-19",""
"INICIAL","2019-02-11","1000814-59.2018.5.02.0203"
"JULGAMENTO","2016-11-09","0000838-60.2013.5.04.0030"
"PERÍCIA","2016-11-09","0020470-67.2016.5.04.0030"
"INSTRUÇÃO","2017-04-11",""
"JULGAMENTO","2016-11-16","5006773-03.2015.4.04.7113"
"PERÍCIA","2017-02-07","001/1.16.0143834-7"
"JULGAMENTO","2016-10-18","0021057-60.2014.5.04.0030"
"INSTRUÇÃO","2017-04-06",""
"INSTRUÇÃO","2016-10-18","9011881-94.2016.8.21.0001"
"PERÍCIA","2017-02-17","001/1.16.0069057-3"
"JULGAMENTO","2016-11-16","5053592-37.2015.4.04.7100"
"PERÍCIA","2018-02-28","0021669-65.2017.5.04.0006"
"JULGAMENTO","2016-10-19","5044734-17.2015.4.04.7100"
"JULGAMENTO","2018-05-22","0020411.94.2015.5.04.0004"
"PERÍCIA","2016-11-21","008/1.10.0020993-3"
"INSTRUÇÃO","2018-05-28",""
"PERÍCIA","2016-11-04","068/1.15.0001626-6"
"PERÍCIA","2016-11-23","0020470-67.2016.5.04.0030"
"INSTRUÇÃO","2016-11-24","001/1.16.0077006-2"
"INSTRUÇÃO","2016-11-24","0021532-79.2015.5.04.0030"
"JULGAMENTO","2016-11-24","001/1.12.0214391-2"
"PERÍCIA","2016-10-24",""
"PERÍCIA","2016-12-09","5073731-73.2016.4.04.7100"
"PERÍCIA","2016-12-13",""
"PERÍCIA","2016-12-14",""
"PERÍCIA","2017-04-13",""
"INICIAL","2016-09-27","0020387-72.2016.5.04.0101"
"OITIVA DE TESTEMUNHAS","2018-09-11","1001253-66.2017.5.02.0054"
"JULGAMENTO","2016-11-10","0020802-05.2014.5.04.0030"
"JULGAMENTO","2016-12-14","5053580-23.2015.4.04.7100"
"JULGAMENTO","2016-11-10","0020271-21.2014.5.04.0772"
"INSTRUÇÃO","2016-11-10","0021583-27.2014.5.04.0030"
"INICIAL","2016-10-10","0021047-26.2016.5.04.0101"
"JULGAMENTO","2018-03-20",""
"INSTRUÇÃO","2018-07-26","0020132-59.2017.5.04.0030"
"INSTRUÇÃO","2016-10-18","0020955-04.2015.5.04.0030"
"OITIVA DE TESTEMUNHAS","2018-08-08","0010366-14.2018.5.15.0103"
"PERÍCIA","2016-11-11",""
"INSTRUÇÃO","2016-10-19","0020930-25.2014.5.04.0030"
"JULGAMENTO","2016-10-25","5023044-39.2014.4.04.7108"
"INICIAL","2016-10-27",""
"PERÍCIA","2016-12-21",""
"PERÍCIA","2016-10-27","0020160-61.2016.5.04.0030"
"PERÍCIA","2016-11-03","0020013-30.2014.5.04.0701"
"INICIAL","2017-01-31",""
"INSTRUÇÃO","2017-02-08","0021974-45.2015.5.04.0030"
"PERÍCIA","2017-02-07","001/1.16.0107697-6"
"PERÍCIA","2017-02-22",""
"INICIAL","2017-03-02","0022137-03.2016.5.04.0511"
"JULGAMENTO","2016-11-23","5001106-51.2016.4.04.7129"
"PERÍCIA","2016-11-23","001/1.15.0201370-4"
"OITIVA DE TESTEMUNHAS","2016-10-11","001/1.14.0265233-0"
"JULGAMENTO","2016-10-13","5007784-85.2015.4.04.7107"
"JULGAMENTO","2016-11-03","001/1-13-0077159-4"
"INSTRUÇÃO","2016-11-21",""
