"tramite_audiencia_name","tramite_audiencia_date","tramite_audiencia_numero_processo"
"ENCERRAMENTO DE INSTRUÇÃO","2020-09-29",""
"INSTRUÇÃO","2022-03-16","0020078-25.2019.5.04.0030"
"CONCILIAÇÃO","2020-09-29","0100496.65.2018.5.01.0321"
"CONCILIAÇÃO","2020-10-01","0021290-93.2019.5.04.0026"
"CONCILIAÇÃO","2020-10-01","0021138-12.2018.5.04.0016"
"CONCILIAÇÃO","2020-11-12","0100078-75.2020.5.01.0057"
"PERÍCIA","2020-12-04","5018042-07.2020.8.21.7000"
"JULGAMENTO","2020-10-06","0021196-30.2018.5.04.0011"
"JULGAMENTO","2020-10-07","0021118-82.2018.5.04.0028"
"JULGAMENTO","2020-10-07","0021900-20.2016.5.04.0009"
"JULGAMENTO","2020-10-07","0020852-64.2018.5.04.0103"
"JULGAMENTO","2020-10-07","0020510-45.2019.5.04.0741"
"JULGAMENTO","2020-10-08","0022240-43.2016.5.04.0403"
"JULGAMENTO","2020-10-13","0021200-04.2017.5.04.0011"
"JULGAMENTO","2020-10-13","0021576-20.2017.5.04.0001"
"JULGAMENTO","2020-10-13","0020660-10.2014.5.04.0027"
"JULGAMENTO","2020-10-14","0020250-98.2017.5.04.0009"
"JULGAMENTO","2020-10-15","0021693-81.2017.5.04.0010"
"JULGAMENTO","2020-10-15","0020766-79.2017.5.04.0022"
"JULGAMENTO","2020-11-10","0021154-02.2018.5.04.0004"
"JULGAMENTO","2020-12-15","0020487-22.2019.5.04.0023"
"INSTRUÇÃO","2021-07-13",""
"INICIAL","2020-11-24","0000467-83.2020.5.05.0431"
"INSTRUÇÃO","2021-06-30",""
"PERÍCIA","2020-10-01","1000110-88.2020.5.02.0037"
"PERÍCIA","2020-09-10","5051341-20.2020.8.21.0001"
"PERÍCIA","2020-09-17","9024094-30.2019.8.21.0001"
"PERÍCIA","2020-10-05","1001763-30.2019.5.02.0080"
"INSTRUÇÃO","2020-10-08","1001310-49.2018.5.02.0022"
"INSTRUÇÃO/CONTROLE DO JUIZ","2020-10-21","1000147-55.2020.5.02.0445"
"INSTRUÇÃO","2020-10-22","0011640-50.2018.5.15.0026"
"UNA","2020-11-04","0100669-16.2020.5.01.0064"
"INICIAL","2020-11-11",""
"INSTRUÇÃO","2021-02-23","1001665-55.2019.5.07.0012"
"OITIVA DE TESTEMUNHAS","2020-10-19","1000448.04.2020.5.02.0703"
"UNA","2021-04-12","1001082-85.2020.5.02.0707"
"INSTRUÇÃO","2020-10-23","1001628-21.2019.5.02.0079"
"PERÍCIA","2020-12-03","5076067-79.2018.4.04.7100"
"INSTRUÇÃO","2020-10-28","1000255-36.2020.5.02.0073"
"UNA","2020-11-18","1000639-54.2020.5.02.0281"
"JULGAMENTO","2020-10-13","0022236-70.2016.5.04.0511"
"UNA","2021-01-27","1001100-44.2020.5.02.0372"
"UNA","2021-02-01","1001069-65.2020.5.02.0035"
"PERÍCIA","2020-11-13","0101268-83.2019.5.01.0065"
"CONCILIAÇÃO","2020-11-12","0101250-59.2019.5.01.0551"
"INICIAL","2020-11-17","0011609-23.2020.5.15.0038"
"UNA","2020-12-02","1000153.94.2020.5.02.0014"
"UNA","2020-12-17","1001384-14.2020.5.02.0611"
"INICIAL","2020-11-27","0011599-76.2020.5.15.0038"
"JULGAMENTO","2020-10-13","0020332-52.2014.5.04.0004"
"JULGAMENTO","2020-10-13","0020416-36.2018.5.04.0029"
"INICIAL","2021-01-28","1001081-97.2020.5.02.0708"
"INICIAL","2021-02-05","1001053-82.2020.5.02.0465"
"OITIVA DE TESTEMUNHAS","2021-02-23","1000448.04.2020.5.02.0703"
"INICIAL","2021-02-22","1000225.55.2020.5.02.0055"
"UNA","2021-04-15","1001040-96.2020.5.02.0008"
"INSTRUÇÃO","2021-03-02","0011923-03.2019.5.15.0038"
"OITIVA DE TESTEMUNHAS","2021-02-08","1001247.73.2019.5.02.0059"
"INSTRUÇÃO","2020-10-13","0010393-15.2019.5.03.0129"
"PERÍCIA","2020-10-21",""
"INSTRUÇÃO","2021-07-08","0001780-56.2017.5.07.0002"
"UNA","2020-12-10","1000686-92.2020.5.02.0292"
"INSTRUÇÃO","2020-11-16","1000369-78.2020.5.02.0071"
"CONCILIAÇÃO","2020-11-12","0100303-49.2020.5.01.0040"
"JULGAMENTO","2020-11-18","0022331-54.2017.5.04.0030"
"JULGAMENTO - VIRTUAL","2020-11-24","5073447-65.2016.4.04.7100"
"JULGAMENTO - VIRTUAL","2020-11-24","5000685-38.2018.4.04.7114"
"JULGAMENTO","2020-10-13","0021689-42.2016.5.04.0022"
"INSTRUÇÃO","2021-10-07","0010511-36.2020.5.03.0038"
"INSTRUÇÃO","2021-06-14","1000614-71.2020.5.02.0077"
"PERÍCIA","2020-10-20","0021142-45.2019.5.04.0103"
"JULGAMENTO - VIRTUAL","2020-11-19",""
"JULGAMENTO - VIRTUAL","2020-10-29",""
"INICIAL","2020-11-30","0100808-60.2020.5.01.0001"
"OITIVA DE TESTEMUNHAS","2021-02-10","0011198.39.2019.5.03.0073"
"SENTENÇA","2020-11-17",""
"INICIAL","2020-11-19","0010788-43.2020.5.15.0030"
"JULGAMENTO","2020-11-11","0022367-96.2017.5.04.0030"
"INSTRUÇÃO","2020-11-17","1000107-36.2020.5.02.0716"
"CONCILIAÇÃO","2020-11-12","0100045-72.2020.5.01.0029"
"CONCILIAÇÃO","2020-11-16",""
"INSTRUÇÃO","2020-12-10","0021252-15.2017.5.04.0006"
"INICIAL","2020-11-17","0011605-83.2020.5.15.0038"
"INICIAL","2021-01-21","1001187-21.2020.5.02.0462"
"CONCILIAÇÃO","2020-11-19","0001570-79.2020.5.09.0669"
"JULGAMENTO - ED","2020-11-19","0021837-55.2017.5.04.0204"
"JULGAMENTO - VIRTUAL","2020-11-18","5008132-30.2020.4.04.7107"
"CONCILIAÇÃO","2020-11-19","0021080-02.2015.5.04.0020"
"CONCILIAÇÃO","2020-11-24",""
"INSTRUÇÃO","2020-12-14",""
"INSTRUÇÃO","2020-11-03","0021021-80.2016.5.04.0019"
"CONCILIAÇÃO","2020-12-14","1000463-34.2020.5.02.0715"
"INSTRUÇÃO","2021-03-23","0020587-68.2018.5.04.0004"
"JULGAMENTO","2020-10-13","0020512-63.2017.5.04.0101"
"JULGAMENTO","2020-10-13","0020636-47.2018.5.04.0251"
"JULGAMENTO","2020-11-19","0021200-26.2016.5.04.0403"
"JULGAMENTO","2020-11-19","0021153-48.2018.5.04.0026"
"JULGAMENTO","2020-11-24","0020701-19.2014.5.04.0013"
"JULGAMENTO","2020-11-25","0021019-60.2018.5.04.0401"
"JULGAMENTO","2020-11-25","0021400-35.2017.5.04.0003"
"JULGAMENTO","2020-11-25","0021054-36.2017.5.04.0019"
"JULGAMENTO","2020-11-26","0020016-40.2019.5.04.0141"
"JULGAMENTO","2020-12-15","0020852-16.2017.5.04.0001"
"PERÍCIA","2021-02-19","0021604-27.2019.5.04.0030"
"INSTRUÇÃO","2021-07-19","0020930-21.2019.5.04.0007"
"INSTRUÇÃO","2021-06-30","1000369-78.2020.5.02.0071"
"INSTRUÇÃO","2020-12-07","1001737-97.2019.5.02.0317"
"PERÍCIA","2020-11-12","1001561-59.2019.5.02.0078"
"UNA","2020-11-30","1000680-86.2019.5.02.0012"
"PERÍCIA","2020-12-07","0101268-83.2019.5.01.0065"
"CONCILIAÇÃO","2020-11-11","0100562-90.2019.5.01.0521"
"CONCILIAÇÃO","2020-11-11","0101135-80.2019.5.01.0246"
"PERÍCIA","2020-11-12","1001687-35.2019.5.02.0038"
"JULGAMENTO - VIRTUAL","2020-11-18","5023174-19.2015.4.04.7100"
"UNA","2021-02-09","0100619-74.2020.5.01.0521"
"CONCILIAÇÃO","2020-11-16","0011083-41.2020.5.15.0140"
"INSTRUÇÃO","2021-02-10","0001539-06.2012.5.02.0032"
"INICIAL","2020-11-17","0010788-43.2020.5.15.0030"
"INSTRUÇÃO","2020-11-25","0021680-22.2016.5.04.0009"
"JULGAMENTO - VIRTUAL","2020-11-26","9065136-59.2019.8.21.0001"
"JULGAMENTO - VIRTUAL","2020-11-26",""
"INSTRUÇÃO","2021-05-05","1000107-36.2020.5.02.0716"
"CONCILIAÇÃO","2020-11-18","0022638-93.2020.5.04.0000"
"INSTRUÇÃO","2020-12-03","5079989-94.2019.4.04.7100"
"JULGAMENTO","2020-12-10","0020184-96.2019.5.04.0123"
"JULGAMENTO - VIRTUAL","2020-11-26",""
"JULGAMENTO - VIRTUAL","2020-11-26",""
"JULGAMENTO - VIRTUAL","2020-12-02","5053548-42.2020.4.04.7100"
"INICIAL","2020-12-14","0011384-06.2020.5.03.0145"
"UNA","2021-04-06","1001189-08.2020.5.02.0715"
"INSTRUÇÃO","2021-01-26","0100673-53.2020.5.01.0064"
"JULGAMENTO","2020-11-23","0000045-79.2020.5.14.0101"
"INSTRUÇÃO","2021-02-05","1000337-59.2020.5.02.0011"
"INSTRUÇÃO","2021-04-02","0011604-98.2020.5.15.0038"
"INSTRUÇÃO","2020-11-18","0000613-92.2019.5.21.0018"
"UNA","2021-05-19","1000411-50.2020.5.02.0032"
"INSTRUÇÃO","2020-11-11","1000835-05.2019.5.02.0040"
"UNA","2020-10-20","1000687-77.2020.5.02.0292"
"CONCILIAÇÃO","2020-11-17","0010188.15.2015.5.15.0089"
"JULGAMENTO","2020-03-17","0020998-61.2016.5.04.0011"
"JULGAMENTO","2020-03-17","0020512-63.2017.5.04.0101"
"JULGAMENTO","2020-03-18","0021438-87.2017.5.04.0022"
"JULGAMENTO","2020-03-25","0000201-84.2014.5.04.0512"
"JULGAMENTO","2020-03-25","0021267-09.2017.5.04.0030"
"CONCILIAÇÃO","2020-04-23","0020514-05.2018.5.04.0002"
"SENTENÇA","2020-04-30","0021073-81.2018.5.04.0027"
"INSTRUÇÃO","2020-12-03","1000812-73.2020.5.02.0703"
"INSTRUÇÃO","2020-11-18","5006299-74.2020.4.04.7107"
"SENTENÇA","2020-11-27","0000880-98.2020.5.09.0653"
"CONCILIAÇÃO","2020-11-19","0001390-63.2020.5.09.0669"
"INSTRUÇÃO/CONTROLE DO JUIZ","2021-02-11","1000469-80.2020.5.02.0314"
"JULGAMENTO","2020-11-25","0022249-57.2016.5.04.0030"
"JULGAMENTO","2020-12-01","0020380-66.2018.5.04.0102"
"INICIAL","2020-12-04","1001018-81.2020.5.02.0608"
"CONCILIAÇÃO","2020-11-30","0011150-52.2020.5.15.0060"
"JULGAMENTO - VIRTUAL","2020-12-03","5036741-44.2020.4.04.7100"
"PERÍCIA","2020-12-09","5035537-62.2020.4.04.7100"
"INSTRUÇÃO","2021-02-10",""
"INSTRUÇÃO","2021-01-25","0020513-30.2020.5.04.0461"
"INSTRUÇÃO","2021-01-21","0020760-77.2019.5.04.0030"
"CONCILIAÇÃO","2021-01-27","0100270-75.2020.5.01.0261"
"INSTRUÇÃO","2021-03-29","0021221-06.2019.5.04.0012"
"INSTRUÇÃO","2021-03-01","1000895-02.2020.5.02.0053"
"INSTRUÇÃO","2021-02-25","0010884-87.2019.5.03.0075"
"INSTRUÇÃO","2021-03-09","0011609-23.2020.5.15.0038"
"INSTRUÇÃO","2021-02-23","1001525-58.2019.5.02.0032"
"INSTRUÇÃO","2021-03-09","0011605-83.2020.5.15.0038"
"INSTRUÇÃO","2021-03-16","1001525-58.2019.5.02.0032"
"UNA","2021-04-08","1001384-14.2020.5.02.0611"
"UNA","2021-04-01","1001205-72.2020.5.02.0064"
"INICIAL","2021-03-18","0011296-71.2020.5.15.0132"
"INSTRUÇÃO","2021-06-24","1000245-26.2020.5.02.0482"
"INSTRUÇÃO","2021-06-24","1000304-14.2020.5.02.0482"
"INSTRUÇÃO","2021-05-12","0001173-91.2019.5.09.0010"
"INSTRUÇÃO","2021-05-12","0000797-08.2019.5.09.0010"
"INSTRUÇÃO","2021-05-31","1000812-73.2020.5.02.0703"
"INSTRUÇÃO","2020-11-25","0000797-08.2019.5.09.0010"
"INSTRUÇÃO","2021-08-12","0012314-83.2017.5.15.0116"
"INSTRUÇÃO","2021-10-13","0010788-43.2020.5.15.0030"
"UNA","2020-12-17","1000509-47.2020.5.02.0707"
"INICIAL","2020-11-18","1000999-06.2020.5.02.0049"
"INSTRUÇÃO","2021-07-05","1001778-82.2019.5.02.0020"
"INSTRUÇÃO","2020-07-08","068/1.15.0001626-6"
"INSTRUÇÃO","2021-04-05","0020478-93.2019.5.04.0012"
"INSTRUÇÃO","2020-12-02","0021295-79.2018.5.04.0405"
"JULGAMENTO - VIRTUAL","2020-12-03","9065136-59.2019.8.21.0001"
"JULGAMENTO - VIRTUAL","2020-12-03","9065726-36.2019.8.21.0001"
"JULGAMENTO - VIRTUAL","2020-12-03","013/2020"
"JULGAMENTO - VIRTUAL","2020-12-07","5060225-25.2019.4.04.7100"
"JULGAMENTO","2020-12-11","0021864-63.2020.5.04.0000"
"JULGAMENTO - VIRTUAL","2020-12-08","0007321-18.2020.8.19.0055"
"INSTRUÇÃO","2020-12-15","0010172-63.2020.5.03.0075"
"OITIVA DE TESTEMUNHAS","2021-07-05","0000427.30.2020.5.12.0036"
"INSTRUÇÃO","2021-08-31","0011083-41.2020.5.15.0140"
"JULGAMENTO","2020-11-25","0000384-03.2014.5.04.0303"
"JULGAMENTO","2020-11-25","0020270-97.2019.5.04.0016"
"JULGAMENTO","2020-11-25","0021139-58.2018.5.04.0028"
"JULGAMENTO","2020-11-25","0021572-35.2017.5.04.0404"
"JULGAMENTO","2020-11-25","0000614-71.2017.5.12.0059"
"JULGAMENTO","2020-12-01","0021856-40.2017.5.04.0405"
"JULGAMENTO","2020-12-09","0020978-75.2018.5.04.0019"
"JULGAMENTO","2020-12-16","0020806-62.2017.5.04.0733"
"INSTRUÇÃO","2021-03-03","0020503-85.2019.5.04.0019"
"UNA","2021-05-27","1000509-47.2020.5.02.0707"
"INSTRUÇÃO","2021-03-30","1001578-33.2019.5.02.0422"
"INICIAL","2021-04-28","1000744-23.2020.5.02.0025"
"INSTRUÇÃO","2021-03-30","1000235-65.2020.5.02.0034"
"INSTRUÇÃO","2020-11-30","0000613-92.2019.5.21.0018"
"INSTRUÇÃO","2021-04-19","1000341-10.2020.5.02.0072"
"INSTRUÇÃO","2021-01-28","1000588-84.2020.5.02.0720"
"INSTRUÇÃO","2021-05-31","1000804-96.2020.5.02.0703"
"INSTRUÇÃO","2021-06-02","1000745-05.2020.5.02.0608"
"INSTRUÇÃO","2021-06-08","1000999-06.2020.5.02.0049"
"INSTRUÇÃO","2021-06-15","0001570-79.2020.5.09.0669"
"JULGAMENTO","2020-11-12",""
"JULGAMENTO","2020-11-12",""
"JULGAMENTO - VIRTUAL","2020-11-18",""
"JULGAMENTO - VIRTUAL","2020-11-16","0003530-88.2018.4.03.6328"
"INSTRUÇÃO","2020-11-19","0010975-80.2019.5.03.0075"
"JULGAMENTO","2020-03-17","0020772-06.2018.5.04.0102"
"UNA","2021-05-17","1000947-64.2020.5.02.0710"
"INSTRUÇÃO","2020-11-26","0000013-74.2020.5.14.0101"
"UNA","2020-12-11","0000013-74.2020.5.14.0101"
"INSTRUÇÃO","2020-11-26","0000013-74.2020.5.14.0101"
"UNA","2020-12-11","0000013-74.2020.5.14.0101"
"JULGAMENTO - VIRTUAL","2020-11-26",""
"JULGAMENTO - VIRTUAL","2020-11-30","1001670-09.2018.8.26.0040"
"INSTRUÇÃO","2020-11-25","1000565-40.2020.5.02.0009"
"INSTRUÇÃO/CONTROLE DO JUIZ","2021-01-22","1000147-55.2020.5.02.0445"
"JULGAMENTO","2020-12-01","0020772-06.2018.5.04.0102"
"INSTRUÇÃO","2020-12-04","1000107-36.2020.5.02.0716"
"CONCILIAÇÃO","2020-12-02",""
"JULGAMENTO","2020-12-09","0020236-51.2020.5.04.0772"
"INSTRUÇÃO","2021-02-16","0017768-58.2019.5.16.0015"
"JULGAMENTO","2020-12-01","0020380-66.2018.5.04.0102"
"JULGAMENTO","2020-12-01","0021329-63.2018.5.04.0402"
"JULGAMENTO","2020-12-01","0021698-55.2017.5.04.0511"
"JULGAMENTO","2020-12-01","0021487-34.2017.5.04.0021"
"JULGAMENTO","2020-12-02","0020482-03.2018.5.04.0001"
"JULGAMENTO","2020-12-10","0020352-91.2015.5.04.0009"
"JULGAMENTO","2020-12-16","0020870-33.2015.5.04.0025"
"CONCILIAÇÃO","2021-02-22","0000944-72.2019.5.05.0195"
"INSTRUÇÃO","2021-01-27","0001030-51.2019.5.09.0124"
"INSTRUÇÃO","2021-02-22","0020594-93.2019.5.04.0014"
"INSTRUÇÃO","2021-03-03","0020756-88.2019.5.04.0014"
"INSTRUÇÃO","2021-03-19","1000566-18.2020.5.02.0076"
"INSTRUÇÃO","2021-06-15","0001390-63.2020.5.09.0669"
"INSTRUÇÃO","2021-05-11","1000565-40.2020.5.02.0009"
"INSTRUÇÃO","2021-06-18","1000206-76.2020.5.02.0046"
"PERÍCIA","2020-11-24","1000789-65.2020.5.02.0465"
"INSTRUÇÃO","2020-12-15","0021295-79.2018.5.04.0405"
"INSTRUÇÃO","2020-11-27","1000937-54.2020.5.02.0052"
"PERÍCIA","2020-12-14","0100722-30.2020.5.01.0053"
"INSTRUÇÃO","2021-09-28","0101250-59.2019.5.01.0551"
"JULGAMENTO - VIRTUAL","2020-11-24","5034012-45.2020.4.04.7100"
"PERÍCIA","2020-11-25","1001525-58.2019.5.02.0032"
"JULGAMENTO","2020-12-01","0021487-34.2017.5.04.0021"
"PERÍCIA","2020-12-10","5097348-70.2020.8.21.0001"
"JULGAMENTO","2020-12-09","0022249-57.2016.5.04.0030"
"PERÍCIA","2020-12-14","0020880-59.2019.5.04.0406"
"OITIVA DE TESTEMUNHAS","2021-04-22","1000253.42.2020.5.02.0372"
"INSTRUÇÃO","2021-01-27","1001117-79.2019.5.02.0028"
"JULGAMENTO - VIRTUAL","2020-12-09",""
"JULGAMENTO - VIRTUAL","2020-12-07","5000094-75.2017.8.21.0010"
"JULGAMENTO - VIRTUAL","2020-12-15","5043865-49.2018.4.04.7100"
"JULGAMENTO - VIRTUAL","2020-12-15","5054677-19.2019.4.04.7100"
"INICIAL","2020-12-15","0020987-72.2020.5.04.0017"
"JULGAMENTO - VIRTUAL","2020-12-10","5000797-23.2020.8.21.0132"
"JULGAMENTO - VIRTUAL","2020-12-10","5000025-54.2014.8.21.0008"
"CONCILIAÇÃO","2020-12-16","0010702-49.2020.5.03.0178"
"INSTRUÇÃO","2021-02-03","0100545-32.2020.5.01.0226"
"JULGAMENTO","2020-12-03","0021645-40.2017.5.04.0005"
"JULGAMENTO","2020-12-03","0020535-31.2017.5.04.0029"
"JULGAMENTO","2020-12-03","0021064-56.2017.5.04.0221"
"JULGAMENTO","2020-12-16","0020818-35.2018.5.04.0121"
"JULGAMENTO","2020-12-16","0021890-15.2017.5.04.0405"
"INSTRUÇÃO","2021-02-22","1001420-81.2019.5.02.0711"
"UNA","2021-03-08","1001306-44.2020.5.02.0021"
"UNA","2021-06-15","1001343-59.2020.5.02.0704"
"INSTRUÇÃO","2021-03-23","1000937-54.2020.5.02.0052"
"INSTRUÇÃO","2021-03-15","0000734-86.2020.5.11.0011"
"INSTRUÇÃO","2021-08-25","1000784-93.2019.5.02.0201"
"INSTRUÇÃO","2021-07-08","0020472-56.2019.5.04.0022"
"INICIAL","2021-05-04","1001200-66.2020.5.02.0382"
"INSTRUÇÃO","2021-09-29","0100863-10.2020.5.01.0551"
"PERÍCIA","2020-12-01","1000895-02.2020.5.02.0053"
"SENTENÇA","2020-12-18",""
"INSTRUÇÃO/CONTROLE DO JUIZ","2021-01-29","1000465-58.2020.5.02.0018"
"INSTRUÇÃO","2021-01-22","1000107-36.2020.5.02.0716"
"JULGAMENTO","2020-12-09","0025198-78.2019.5.24.0002"
"JULGAMENTO - VIRTUAL","2020-12-02",""
"JULGAMENTO - ED","2020-12-09","0021237-10.2017.5.04.0406"
"CONCILIAÇÃO","2020-12-10",""
"JULGAMENTO - VIRTUAL","2020-12-10",""
"CONCILIAÇÃO","2020-12-15","0002178.09.2014.5.02.0079"
"INICIAL","2021-04-28","1001297-79.2020.5.02.0701"
"JULGAMENTO - VIRTUAL","2020-12-17","5027773-25.2020.4.04.7100"
"JULGAMENTO","2020-12-09","0020876-95.2018.5.04.0102"
"UNA","2021-04-07","1001682-09.2020.5.02.0610"
"JULGAMENTO","2020-12-09","0020486-44.2017.5.04.0302"
"JULGAMENTO","2020-12-09","0020623-83.2018.5.04.0013"
"JULGAMENTO","2020-12-09","0021162-46.2018.5.04.0014"
"JULGAMENTO","2020-12-09","0021738-28.2017.5.04.0029"
"JULGAMENTO","2020-12-10","0021116-57.2018.5.04.0014"
"JULGAMENTO","2020-12-10","0021679-52.2016.5.04.0004"
"JULGAMENTO","2020-12-10","0020653-35.2018.5.04.0461"
"INSTRUÇÃO","2021-05-25","1000680-86.2019.5.02.0012"
"INSTRUÇÃO","2021-03-19","1000463-76.2020.5.02.0313"
"INSTRUÇÃO","2021-03-04","1000370-23.2020.5.02.0052"
"UNA","2021-03-09","1001313-30.2020.5.02.0702"
"INSTRUÇÃO","2021-04-28","0100275-48.2020.5.01.0245"
"INSTRUÇÃO","2021-03-16","0011599-76.2020.5.15.0038"
"INSTRUÇÃO","2021-04-07","1000465-58.2020.5.02.0018"
"INSTRUÇÃO","2021-05-18","0020697-32.2017.5.04.0221"
"INSTRUÇÃO","2021-05-04","1000378-78.2020.5.02.0705"
"INICIAL","2021-03-16","1001328-93.2020.5.02.0703"
"INSTRUÇÃO","2021-06-29","1000561-71.2019.5.02.0709"
"JULGAMENTO - VIRTUAL","2020-12-09","5031612-34.2015.4.04.7100"
"JULGAMENTO - VIRTUAL","2020-12-09","5000685-38.2018.4.04.7114"
"CONCILIAÇÃO","2020-11-27","1000295-42.2019.5.02.0044"
"INICIAL","2021-01-26","1001163-75.2020.5.02.0467"
"INSTRUÇÃO","2020-12-16","0020587-53.2019.5.04.0030"
"INSTRUÇÃO","2022-06-06","0020587-53.2019.5.04.0030"
"INSTRUÇÃO","2021-10-05","0100121-27.2020.5.01.0343"
"JULGAMENTO - VIRTUAL","2020-12-03","9011399-78.2018.8.21.0001"
"INSTRUÇÃO","2021-02-22","0021052-80.2019.5.04.0024"
"CONCILIAÇÃO","2020-12-03","0001361-96.2017.5.12.0034"
"CONCILIAÇÃO","2020-12-03","0020977-86.2015.5.04.0022"
"CONCILIAÇÃO","2020-12-04","0021555-44.2017.5.04.0001"
"INSTRUÇÃO","2021-01-27","0010156-32.2020.5.15.0025"
"INSTRUÇÃO","2021-01-26","0020368-54.2016.5.04.0027"
"JULGAMENTO - VIRTUAL","2020-12-16",""
"JULGAMENTO - VIRTUAL","2020-12-16","5002348-27.2020.4.04.7122"
"JULGAMENTO - VIRTUAL","2020-12-16","5033082-27.2020.4.04.7100"
"JULGAMENTO","2020-12-09","0021700-70.2017.5.04.0205"
"JULGAMENTO","2020-12-09","0021319-19.2018.5.04.0402"
"JULGAMENTO","2020-12-09","0020467-20.2017.5.04.0017"
"JULGAMENTO","2020-12-10","0020706-14.2018.5.04.0009"
"JULGAMENTO","2020-12-10","0020627-15.2015.5.04.0761"
"JULGAMENTO","2020-12-11","0020554-82.2017.5.04.0402"
"JULGAMENTO","2020-12-11","0021547-52.2018.5.04.0512"
"JULGAMENTO","2020-12-11","0020855-22.2018.5.04.0102"
"JULGAMENTO","2020-12-16","0020184-96.2019.5.04.0123"
"CONCILIAÇÃO","2021-01-27","0020306-71.2016.5.04.0202"
"PERÍCIA","2021-02-23","0020660-88.2020.5.04.0030"
"INSTRUÇÃO","2021-03-10","0021782-20.2016.5.04.0017"
"INSTRUÇÃO","2021-09-30","0100127-40.2020.5.01.0341"
"JULGAMENTO - VIRTUAL","2020-11-26","5005087-59.2020.8.21.0010"
"JULGAMENTO - VIRTUAL","2020-12-01","5024318-39.2020.4.03.0000"
"JULGAMENTO - VIRTUAL","2020-12-02",""
"JULGAMENTO - VIRTUAL","2020-12-02",""
"INSTRUÇÃO","2021-11-23","0020660-88.2020.5.04.0030"
"OITIVA DE TESTEMUNHAS","2021-01-25","0000249-80.2020.5.09.0128"
"INSTRUÇÃO","2021-07-14","1001018-81.2020.5.02.0608"
"INSTRUÇÃO","2021-09-14","0010156-32.2020.5.15.0025"
"UNA","2020-12-07","1000930-57.2020.5.02.0086"
"INSTRUÇÃO","2021-01-27","1000308-55.2020.5.02.0028"
"INSTRUÇÃO","2021-01-27","1000377-87.2020.5.02.0028"
"INSTRUÇÃO","2021-02-19","1000369-41.2020.5.02.0051"
"PERÍCIA","2020-12-08","0021385-14.2019.5.04.0030"
"JULGAMENTO - VIRTUAL","2020-12-16",""
"PERÍCIA","2020-12-17","1019449-12.2019.8.26.0405"
"JULGAMENTO - VIRTUAL","2020-12-16","5006683-26.2014.4.04.7114"
"INSTRUÇÃO","2021-01-26","0011660-41.2018.5.15.0026"
"JULGAMENTO - VIRTUAL","2020-12-16","5043865-49.2018.4.04.7100"
"JULGAMENTO - VIRTUAL","2020-12-16","5028930-80.2020.8.21.0001"
"OITIVA DE TESTEMUNHAS","2021-02-15","1001151-23.2020.5.02.0706"
"OITIVA DE TESTEMUNHAS","2021-01-28","0001030-51.2019.5.09.0124"
"INICIAL","2021-03-23","0100905-35.2020.5.01.0074"
"UNA","2021-03-16","1001304-59.2020.5.02.0705"
"INICIAL","2021-03-23","0100903-65.2020.5.01.0074"
"INICIAL","2021-03-24","0011561-18.2020.5.15.0118"
"INICIAL","2021-01-26","0001460-19.2019.5.19.0061"
"UNA","2021-04-19","1000858-38.2020.5.02.0032"
"UNA","2021-03-16","1001302-89.2020.5.02.0705"
"INSTRUÇÃO","2021-03-22",""
"UNA","2021-04-07","1001318-52.2020.5.02.0023"
"JULGAMENTO - VIRTUAL","2020-12-10","5060225-25.2019.4.04.7100"
"CONCILIAÇÃO","2020-12-10",""
"INSTRUÇÃO","2021-08-23","0021210-20.2019.5.04.0030"
"INSTRUÇÃO","2022-06-03","0020410-55.2020.5.04.0030"
"PERÍCIA","2020-12-14","1072017-91.2019.8.26.0053"
"JULGAMENTO","2020-12-11","0021422-97.2020.5.04.0000"
"PERÍCIA","2020-12-10","5100487-30.2020.8.21.0001"
"JULGAMENTO - VIRTUAL","2020-12-10","5032886-41.2019.8.21.0001"
"INSTRUÇÃO","2020-12-14","1001581-81.2019.5.02.0003"
"PERÍCIA","2021-02-11","1019449-12.2019.8.26.0405"
"INICIAL","2021-04-27",""
"INSTRUÇÃO","2021-02-08","0020633-45.2018.5.04.0008"
"PERÍCIA","2021-01-14","1002401-06.2020.8.26.0405"
"INICIAL","2021-02-02","1000660-20.2020.5.02.0058"
"CONCILIAÇÃO","2021-01-21","1000438-38.2020.5.02.0386"
"INSTRUÇÃO","2021-01-28","0020683-92.2019.5.04.0022"
"JULGAMENTO","2020-12-17","0020526-10.2019.5.04.0026"
"CONCILIAÇÃO","2021-02-04","0020994-13.2015.5.04.0026"
"INSTRUÇÃO","2021-01-29",""
"INSTRUÇÃO","2021-01-29",""
"CONCILIAÇÃO","2021-02-04","0021055-43.2016.5.04.0023"
"PERÍCIA","2021-01-28","5010153-13.2019.4.04.7107"
"PERÍCIA","2021-02-12","1024844-37.2020.8.26.0053"
"CONCILIAÇÃO","2021-02-18","0020940-68.2020.5.04.0027"
"PERÍCIA","2021-02-22","0020880-59.2019.5.04.0406"
"INSTRUÇÃO","2021-02-22","0021210-20.2019.5.04.0030"
"PERÍCIA","2021-02-26","5057994-25.2019.4.04.7100"
"INSTRUÇÃO","2021-02-24","0020490-61.2020.5.04.0404"
"JULGAMENTO","2021-02-25","0021659-40.2016.5.04.0011"
"JULGAMENTO","2021-02-25","0020896-80.2018.5.04.0104"
